Date,Open,High,Low,Close,Volume
03/08/2022,"2,525.01","2,624.93","2,517.22","2,545.57","1,762,478"
03/07/2022,"2,638.08","2,638.08","2,528.20","2,529.29","1,958,895"
03/04/2022,"2,667.65","2,683.98","2,608.17","2,642.44","1,223,612"
03/03/2022,"2,719.57","2,734.28","2,668.62","2,686.16","988,965"
03/02/2022,"2,692.17","2,712.31","2,668.65","2,695.03","1,198,337"
03/01/2022,"2,689.60","2,722.22","2,667.57","2,683.36","1,231,996"
02/28/2022,"2,665.69","2,712.81","2,656.51","2,697.82","1,483,784"
02/25/2022,"2,670.51","2,707.78","2,635.30","2,690.39","1,311,793"
02/24/2022,"2,500.00","2,660.74","2,495.29","2,653.47","2,158,254"
02/23/2022,"2,621.57","2,634.98","2,550.07","2,551.70","1,321,564"
02/22/2022,"2,599.70","2,638.02","2,554.82","2,588.05","1,945,329"
02/18/2022,"2,660.75","2,676.48","2,606.14","2,609.35","1,592,930"
02/17/2022,"2,723.00","2,736.79","2,644.04","2,646.17","1,548,406"
02/16/2022,"2,728.61","2,758.92","2,696.47","2,749.75","1,280,483"
02/15/2022,"2,749.43","2,758.00","2,710.79","2,728.51","1,328,878"
02/14/2022,"2,667.31","2,723.33","2,666.04","2,706.00","1,339,640"
02/11/2022,"2,775.00","2,785.67","2,665.77","2,682.60","1,940,440"
02/10/2022,"2,790.00","2,828.62","2,761.00","2,772.05","1,650,885"
02/09/2022,"2,817.00","2,843.51","2,807.54","2,829.06","1,431,358"
02/08/2022,"2,779.83","2,796.74","2,737.46","2,784.26","1,712,752"
02/07/2022,"2,874.18","2,876.93","2,773.98","2,778.76","2,230,537"
02/04/2022,"2,860.34","2,890.71","2,796.35","2,860.32","2,461,220"
02/03/2022,"2,905.90","2,982.35","2,844.10","2,853.01","2,846,507"
02/02/2022,"3,037.27","3,042.00","2,911.15","2,960.73","4,487,538"
02/01/2022,"2,756.70","2,764.00","2,691.37","2,757.57","2,560,160"
01/31/2022,"2,683.96","2,716.87","2,645.48","2,713.97","1,702,778"
01/28/2022,"2,600.00","2,667.41","2,573.89","2,665.79","1,525,878"
01/27/2022,"2,627.22","2,652.20","2,578.90","2,582.42","1,514,251"
01/26/2022,"2,611.85","2,656.15","2,543.07","2,584.80","1,981,544"
01/25/2022,"2,568.71","2,586.77","2,527.56","2,534.71","1,800,430"
01/24/2022,"2,520.55","2,615.57","2,492.84","2,607.44","2,764,602"
01/21/2022,"2,660.24","2,695.21","2,600.02","2,601.84","2,095,961"
01/20/2022,"2,730.28","2,758.24","2,662.89","2,670.13","1,096,528"
01/19/2022,"2,738.77","2,767.99","2,710.00","2,713.04","1,039,764"
01/18/2022,"2,732.00","2,747.83","2,712.34","2,725.81","1,370,098"
01/14/2022,"2,750.00","2,824.01","2,750.00","2,795.73","1,191,296"
01/13/2022,"2,836.81","2,863.71","2,778.28","2,782.62","1,328,254"
01/12/2022,"2,831.09","2,856.29","2,822.24","2,832.96","1,182,079"
01/11/2022,"2,763.61","2,806.59","2,736.27","2,800.35","1,175,062"
01/10/2022,"2,701.98","2,772.80","2,662.81","2,771.48","1,704,784"
01/07/2022,"2,758.10","2,765.10","2,715.78","2,740.09","970,412"
01/06/2022,"2,749.95","2,793.72","2,735.27","2,751.02","1,452,452"
01/05/2022,"2,883.62","2,885.96","2,750.47","2,753.07","2,482,076"
01/04/2022,"2,911.01","2,932.20","2,876.32","2,888.33","1,146,389"
01/03/2022,"2,889.51","2,911.00","2,870.05","2,901.49","1,261,225"
12/31/2021,"2,910.88","2,927.30","2,893.55","2,893.59","864,885"
12/30/2021,"2,929.00","2,941.25","2,915.17","2,920.05","648,851"
12/29/2021,"2,928.59","2,943.68","2,910.09","2,930.09","851,236"
12/28/2021,"2,967.49","2,967.49","2,918.71","2,928.96","931,792"
12/27/2021,"2,949.27","2,968.53","2,945.00","2,961.28","662,966"
12/23/2021,"2,941.79","2,971.45","2,939.02","2,942.85","690,934"
12/22/2021,"2,882.00","2,946.06","2,879.26","2,938.98","922,024"
12/21/2021,"2,863.00","2,893.84","2,834.70","2,884.41","977,597"
12/20/2021,"2,813.59","2,852.21","2,805.00","2,848.03","1,013,176"
12/17/2021,"2,854.29","2,889.20","2,835.76","2,856.06","2,170,235"
12/16/2021,"2,961.54","2,971.03","2,881.85","2,896.77","1,369,987"
12/15/2021,"2,887.32","2,950.35","2,854.11","2,947.37","1,364,048"
12/14/2021,"2,895.40","2,908.84","2,844.85","2,899.41","1,238,940"
12/13/2021,"2,968.88","2,971.25","2,927.20","2,934.09","1,205,196"
12/10/2021,"2,982.00","2,988.00","2,947.15","2,973.50","1,081,923"
12/09/2021,"2,963.52","2,992.10","2,950.58","2,962.12","929,030"
12/08/2021,"2,966.63","2,983.13","2,944.00","2,974.41","948,197"
12/07/2021,"2,919.00","2,966.00","2,914.05","2,960.73","1,162,914"
